line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
7호선,온수,구로구,46961.38888888888,14200.109567901232,22390.429398148142
7호선,용마산,중랑구,26858.046296296303,9576.453703703703,13896.851851851854
7호선,이수,동작구,68183.31481481482,26885.64969135802,37210.065972222226
7호선,장승배기,동작구,39519.972222222226,15253.330246913576,21319.990740740737
7호선,장암,동작구,9046.157407407409,2785.6975308641977,4350.812500000001
7호선,중계,노원구,63181.875,22399.337962962964,32594.972222222223
7호선,중곡,광진구,49550.851851851854,16253.589506172844,24577.905092592584
7호선,중화,중랑구,48100.84259259259,17200.154320987655,24925.32638888889
7호선,천왕,구로구,53214.01851851852,16705.029320987655,25832.276620370376
7호선,철산,강동구,98223.91666666667,34211.87654320987,50214.886574074066
7호선,청담,강남구,102087.6527777778,26552.58641975309,45436.35300925927
7호선,태릉입구,노원구,37033.22685185185,15765.884259259257,21082.7199074074
7호선,하계,노원구,75618.51388888889,29425.027777777777,40973.39930555555
7호선,학동,강남구,126509.25925925927,29061.702160493824,53423.591435185175
8호선,가락시장,송파구,35421.88425925926,13770.385802469134,19183.26041666667
8호선,강동구청,강동구,49287.11574074075,16080.989197530864,24382.520833333332
8호선,몽촌토성,송파구,30709.865740740745,10868.209876543211,15828.623842592597
8호선,문정,송파구,116129.70833333333,25115.783950617282,47869.265046296285
8호선,복정,송파구,41851.48611111111,13563.908950617282,20635.80324074074
8호선,석촌,송파구,36544.791666666664,14960.893518518518,20356.868055555555
8호선,송파,송파구,39430.4212962963,14473.97222222222,20713.08449074074
8호선,암사,강동구,83063.35648148147,27016.410493827156,41028.14699074074
8호선,잠실,송파구,74561.69907407409,30678.280864197528,41649.135416666664
8호선,장지,송파구,78121.28703703705,26134.00462962963,39130.82523148148
8호선,천호,강동구,72104.86111111111,27195.143518518522,38422.57291666667
9호선,가양,강서구,98079.64351851853,33890.30864197531,49937.6423611111
9호선,개화,강서구,11498.037037037036,3233.2453703703704,5299.443287037036
9호선,고속터미널,서초구,64539.42592592593,35296.205246913574,42607.010416666664
9호선,공항시장,강서구,12830.703703703703,5602.77314814815,7409.755787037037
9호선,구반포,강남구,5356.824074074074,2048.046296296296,2875.240740740741
